Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2016-06-14,1570.9503173828125,1278.7698974609375,-37.83955764770508,144.95652770996094,-37.78441619873047,145.18844604492188,4.352616310119629,16.550010681152344,0.5,2806,,,,,76963506,1799947,
2016-06-15,1805.23388671875,4925.07666015625,-37.83548355102539,144.9487762451172,-37.79107666015625,145.18846130371094,5.171128749847412,29.930002212524414,0.5232589840888977,9048,,,,,72783210,6348986,
2016-06-16,1646.8924560546875,3013.83837890625,-37.83485412597656,144.9479217529297,-37.780643463134766,145.18844604492188,8.581683158874512,18.830860137939453,0.5,5182,,,,,74676904,3274499,
2016-06-17,1793.6842041015625,5081.49609375,-37.828819274902344,144.9480743408203,-37.779930114746094,145.1864776611328,3.470881700515747,27.830949783325195,0.5103920102119446,9150,,,,,71575906,6124725,
2016-06-18,1499.7869873046875,237.6455841064453,-37.8309211730957,144.96566772460938,-37.77973556518555,145.19403076171875,5.006472110748291,30.960161209106445,0.550000011920929,608,,,,,75488075,418182,
2016-06-19,1540.91162109375,975.6370239257812,-37.83485794067383,145.12059020996094,-37.818355560302734,145.18844604492188,2.5638437271118164,20.180023193359375,0.5299999713897705,2069,,,,,77598786,1216694,
2016-06-20,1551.4788818359375,763.8075561523438,-38.37639617919922,144.80392456054688,-37.779510498046875,145.2162322998047,5.907296180725098,43.3801383972168,0.6100000143051147,2021,,,,,66743378,1153749,93413
2016-06-21,1585.4990234375,1283.565673828125,-38.22030258178711,145.03289794921875,-37.81991195678711,145.2159881591797,4.469018459320068,31.160194396972656,0.5003998279571533,2703,,,,,72809550,1920942,62013
2016-06-22,1534.888671875,608.0860595703125,-38.312767028808594,145.03248596191406,-37.81150817871094,145.21763610839844,6.509671211242676,29.3700008392334,0.5003998279571533,1497,,,,,72303224,727102,162220
2016-06-23,1611.1038818359375,2248.091796875,-37.83485412597656,144.9493865966797,-37.780311584472656,145.18844604492188,2.66631817817688,23.820253372192383,0.5381449460983276,4302,,,,,62617032,2579602,
2016-06-24,1890.83984375,6803.71875,-37.83485412597656,144.95640563964844,-37.781959533691406,145.18917846679688,3.933494806289673,22.450000762939453,0.5099999904632568,11959,,,,,71599866,7760426,105253
2016-06-25,1726.064208984375,3691.961181640625,-37.879146575927734,144.94554138183594,-37.781734466552734,145.2005615234375,1.4268094301223755,12.490256309509277,0.5024937987327576,6573,,,,,64864282,4811763,
2016-06-26,1591.9261474609375,1150.51318359375,-37.83485412597656,145.1253662109375,-37.7861442565918,145.2307586669922,6.698706150054932,28.010000228881836,0.5015974640846252,2927,,,,,74980283,2207225,
2016-06-27,1800.349609375,5353.66796875,-37.82889938354492,144.8419189453125,-33.86260986328125,151.2131805419922,2.999786376953125,30.095211029052734,0.5,9744,,,,,69537008,6073407,77388
2016-06-28,1739.4847412109375,4395.71533203125,-33.876441955566406,151.19796752929688,-33.86329650878906,151.2093963623047,1.2111152410507202,8.740005493164062,0.55145263671875,7810,,,,,78497049,5072354,
2016-06-29,1554.0706787109375,1290.886474609375,-33.87595748901367,151.20533752441406,-33.86404800415039,151.20750427246094,,,,2214,,,,,84770245,1472198,
2016-06-30,1484.609130859375,128.7227325439453,-33.8763427734375,151.2032470703125,-33.87385177612305,151.2063751220703,,,,207,,,,,84647226,123474,
2016-07-01,1823.7431640625,5179.54443359375,-37.83499526977539,144.82577514648438,-33.85832977294922,151.21478271484375,3.38344669342041,7.800025939941406,0.652763307094574,9221,,,,,68503280,6497963,91599
2016-07-02,1636.1656494140625,2267.166015625,-37.837127685546875,144.98492431640625,-37.74118423461914,145.2305908203125,3.9568638801574707,19.810251235961914,0.5008991956710815,4308,,,,,65687382,3066224,
2016-07-03,1590.05810546875,1399.4891357421875,-37.83711624145508,145.11534118652344,-37.77400207519531,145.18844604492188,3.589491367340088,28.28014373779297,0.5099019408226013,3042,,,,,79212218,2170962,
2016-07-04,1498.338134765625,293.07403564453125,-37.93321228027344,145.12362670898438,-37.81764602661133,145.3036346435547,3.2720465660095215,23.370548248291016,0.5345091223716736,1264,,,,,74886538,390043,
2016-07-05,1570.7108154296875,851.994384765625,-37.9176025390625,145.0695343017578,-37.81745147705078,145.18417358398438,4.771602630615234,20.26000213623047,0.55145263671875,2458,,,,,76420173,1795293,
